"Params","coefs","2.5 %","97.5 %"
"ar.1","0.509","0.343","0.756"
"ar.log(pop)","1","0.94","1.064"
"ar.HDI_cat","1.116","1.01","1.233"
"ar.LL","1.411","1.206","1.651"
"ar.sindex_lag","1.022","0.978","1.069"
"ar.testing_lag","1.116","1.028","1.213"
"ne.1","0.234","0.147","0.372"
"ne.HDI_cat","3.06","2.489","3.763"
"ne.LL","0.136","0.089","0.208"
"ne.sindex_lag","0.929","0.843","1.024"
"ne.testing_lag","0.551","0.454","0.67"
"end.1","0","0","Inf"
"neweights.d","1.508","1.063","1.953"
"overdisp","2.323","2.218","2.428"
"","","",""
"AIC","40429.39","",""
"","","",""
"logs","rps","dss","ses"
"5.4","372.469","10.965","2064017.455"
